zipcode,ID,"Population, 2016",city,population,unit,area,pop density,f_x_peak,lambda0,rho_mg1_array,radius_mg1_array,obj_mg1_array,lamb_endo_mg1_array,wait_endo_mg1_array,rho_pooling_array,radius_pooling_array,t_pooling_array,obj_pooling_array,lamb_endo_pooling_array,wait_endo_pooling_array,mode_opt_array,maximum profit,choice prob
M5P,13,19423,Toronto,"21,137",km²,3.284,5914.4336175395865,295.72168087697935,24.643473406414945,2.0,0.058823529411764705,2850.483423905062,14.78741701457081,0.20832888264581165,2.0,0.2426470588235294,0.08333333333333333,2229.0660447283653,11.884975304249537,0.17063992082082774,0.0,2850.483423905062,0.6000540902128471
M4V,14,18241,Toronto,"20,223",km²,2.729,6684.1333821912785,334.20666910956396,27.85055575913033,2.0,0.1323529411764706,3050.416434408926,15.359195127260065,0.1978542030093826,2.0,0.2426470588235294,0.08333333333333333,2577.721465974234,13.322398093323255,0.17851544983199816,0.0,3050.416434408926,0.5514861268872459
M5R,15,26496,Toronto,"26,436",km²,2.915,9089.536878216124,454.4768439108062,37.87307032590052,2.0,0.25,3611.6021404366975,17.341252791587262,0.20938071827105792,2.0,0.2529411764705882,0.08333333333333333,3681.5376181763127,17.94654152529032,0.17208052505425883,1.0,3681.5376181763127,0.47386022233896086
M5S,16,15372,Toronto,"17,234",km²,1.917,8018.779342723004,400.93896713615027,33.41158059467919,2.0,0.20588235294117646,3382.123932374917,16.51479908441232,0.20249389118966465,2.0,0.2426470588235294,0.08333333333333333,3190.158056255594,15.873552167199538,0.18507399131533706,0.0,3382.123932374917,0.49428368219857016
M5T,17,17748,Toronto,"18,957",km²,1.518,11691.699604743082,584.5849802371541,48.715415019762844,2.0,0.3235294117647059,4048.149327233022,18.963090613509653,0.2386703628955049,2.0,0.2529411764705882,0.08333333333333333,4883.787148672497,22.982074665464285,0.1763302663081825,1.0,4883.787148672497,0.47176185723022024
M5G,18,8423,Toronto,"3,689",km²,0.663,12704.374057315234,635.2187028657618,52.93489190548015,2.0,0.3529411764705882,4160.905939068104,19.357946544102795,0.2450936613766489,2.0,0.2529411764705882,0.08333333333333333,5314.38730855172,24.765683159038822,0.18419685029473767,1.0,5314.38730855172,0.46785177540855477
M5H,19,2005,Toronto,"2,203",km²,0.473,4238.900634249471,211.94503171247356,17.662085976039464,2.0,0.0,2067.0497200288123,11.435668012968971,0.19557271870605153,2.0,0.2426470588235294,0.08333333333333333,1391.535114603126,8.28184786613663,0.19744706750312374,0.0,2067.0497200288123,0.6474698418115898
M5E,20,9118,Toronto,"5,224",km²,0.429,21254.079254079254,1062.7039627039628,88.55866355866357,2.0,0.4411764705882353,4717.181610573783,21.527390430789815,0.40505521207839557,2.0,0.26323529411764707,0.08333333333333333,9048.759324274488,40.39570385798059,0.1924062483324585,1.0,9048.759324274488,0.4561462677360914
M5C,21,2951,Toronto,"3,149",km²,0.286,10318.18181818182,515.909090909091,42.99242424242425,2.0,0.3088235294117647,3785.3281326822375,17.886682115712055,0.2061325313360892,2.0,0.2529411764705882,0.08333333333333333,4182.240050502422,19.993857344474357,0.18979312735054935,1.0,4182.240050502422,0.46505536025913913
M5B,22,12785,Toronto,"8,874",km²,0.596,21451.342281879195,1072.5671140939598,89.38059284116332,2.0,0.4411764705882353,4732.114786806894,21.590212573837803,0.41018421709305286,2.0,0.2529411764705882,0.08333333333333333,9268.60834677012,41.34107557615112,0.19497522839713763,1.0,9268.60834677012,0.4625285452023978
M4Y,23,30472,Toronto,"32,991",km²,0.973,31317.574511819115,1565.8787255909558,130.48989379924632,2.0,0.47058823529411764,4918.384638002276,22.343889671952166,0.5797630887505337,2.0,0.2529411764705882,0.08333333333333333,13695.407244690015,59.91296650908656,0.2018548461405793,1.0,13695.407244690015,0.4591387483329579
M4X,24,20822,Toronto,"18,845",km²,1.159,17965.48748921484,898.274374460742,74.8561978717285,2.0,0.4117647058823529,4601.730799202955,21.087523022664577,0.34906760566754397,2.0,0.2529411764705882,0.08333333333333333,7812.056361703632,35.27742234680533,0.17737903884599115,1.0,7812.056361703632,0.47126922485771644
M4W,25,14561,Toronto,"15,209",km²,4.513,3226.4569022822957,161.32284511411478,13.443570426176231,1.8105263157894738,0.0,1613.383936237665,9.209967884765629,0.1100352862594198,2.0,0.2323529411764706,0.08333333333333333,944.4425664270334,6.463120857527512,0.18910404977362838,0.0,1613.383936237665,0.6850834705959308
M4T,26,10463,Toronto,"9,629",km²,1.677,6239.117471675611,311.9558735837806,25.996322798648382,2.0,0.10294117647058823,2912.2358168962223,14.86904250526919,0.20015274951369902,2.0,0.2426470588235294,0.08333333333333333,2367.201146409513,12.439100198728053,0.17822603887614336,0.0,2912.2358168962223,0.5719671439855436
M4S,27,26506,Toronto,"30,411",km²,3.079,8608.63916856122,430.431958428061,35.869329869005085,2.0,0.20588235294117646,3565.8171269361396,17.316902943406582,0.22543641611823811,2.0,0.2426470588235294,0.08333333333333333,3498.2009205447125,17.195676280544063,0.17644351596294974,0.0,3565.8171269361396,0.48277743148946384
M4P,28,20039,Toronto,"19,404",km²,2.034,9852.015732546706,492.6007866273353,41.05006555227794,2.0,0.2647058823529412,3773.3549083624926,17.98496814220214,0.22707508539347188,2.0,0.2426470588235294,0.08333333333333333,4049.4207128856933,19.47892183839573,0.18624847247985496,1.0,4049.4207128856933,0.4745162176072289
M4N,29,15330,—,"16,122",km²,4.894,3132.4070290151203,156.62035145075603,13.05169595422967,1.8105263157894738,0.0,1564.6541630567801,8.982783830220972,0.10251269528403552,2.0,0.2323529411764706,0.08333333333333333,901.300208995938,6.28882247915228,0.18693757026583463,0.0,1564.6541630567801,0.6882464824282025
M3C,30,39153,Yorkville,"39,971",km²,9.9,3954.8484848484845,197.74242424242425,16.478535353535353,2.0,0.0,2010.6396026754878,11.174186710266358,0.12653793936643493,2.0,0.2323529411764706,0.08333333333333333,1289.386351806564,7.905657626035053,0.19112770180470418,0.0,2010.6396026754878,0.6781055761651181
M4G,31,19076,Toronto,"18,801",km²,6.6,2890.3030303030305,144.51515151515153,12.042929292929294,1.6210526315789473,0.0,1431.0604233200231,8.23895640641047,0.11227617859859643,1.9052631578947368,0.2323529411764706,0.08333333333333333,786.4286475488368,5.729691310255817,0.1991030443688211,0.0,1431.0604233200231,0.6841322576931318
M4H,32,19688,—,"16,939",km²,1.104,17833.333333333332,891.6666666666666,74.30555555555556,2.0,0.39705882352941174,4599.861375204565,21.1089070905958,0.36623484789509836,2.0,0.2529411764705882,0.08333333333333333,7785.449721369164,35.18030653058011,0.1729905137786966,1.0,7785.449721369164,0.47345459256107814
M4K,33,31583,Toronto,"31,399",km²,4.118,7669.499757163671,383.47498785818357,31.956248988181965,2.0,0.1764705882352941,3319.8031976094685,16.362597405045765,0.21115219915955982,2.0,0.2426470588235294,0.08333333333333333,3040.854134717512,15.262764316399426,0.18000865584677864,0.0,3319.8031976094685,0.5120312277920029
M4J,34,35738,Toronto,"41,891",km²,5.3,6743.018867924528,337.15094339622647,28.09591194968554,2.0,0.11764705882352941,3109.5669325564895,15.687807755187809,0.20612373145075624,2.0,0.2426470588235294,0.08333333333333333,2622.608959521722,13.533947276689187,0.17179589951496835,0.0,3109.5669325564895,0.5583662058480857
M5A,35,41078,Toronto,"40,959",km²,4.097,10026.360751769587,501.3180375884794,41.776503132373286,2.0,0.27941176470588236,3782.0609223141814,17.96967040542148,0.22062939221997116,2.0,0.2529411764705882,0.08333333333333333,4108.798797790426,19.730540237061653,0.17525280629437667,1.0,4108.798797790426,0.4722879790714733
