zipcode,ID,"Population, 2016",city,population,unit,area,pop density,f_x_peak,lambda0,rho_mg1_array,radius_mg1_array,obj_mg1_array,lamb_endo_mg1_array,wait_endo_mg1_array,rho_pooling_array,radius_pooling_array,t_pooling_array,obj_pooling_array,lamb_endo_pooling_array,wait_endo_pooling_array,mode_opt_array,maximum profit,choice prob
M5N,10,16610,—,"18,496",km²,2.754,6031.227305737109,301.5613652868555,25.130113773904625,2.0,0.0,3042.5926612950825,15.957662490075036,0.44279615360682967,2.0,0.15,0.08333333333333333,1875.0349082535624,10.14454143806331,0.4886633656842567,0.0,3042.5926612950825,0.6350016014111978
M5M,11,25975,—,"25,976",km²,5.2,4995.192307692308,249.7596153846154,20.81330128205128,2.0,0.0,2674.4866713057363,14.251358048406027,0.22187660532887887,2.0,0.15,0.08333333333333333,1465.049033994544,8.428388635419081,0.4833695855970132,0.0,2674.4866713057363,0.6847235743757737
M4R,12,11394,Toronto,"12,363",km²,1.854,6145.631067961165,307.2815533980583,25.606796116504857,2.0,0.014705882352941176,3005.166968030719,15.709013246279696,0.4478851151372496,2.0,0.15,0.08333333333333333,1907.6176986382884,10.270249414702024,0.49950516385584975,0.0,3005.166968030719,0.6134704699021075
M5P,13,19423,Toronto,"21,137",km²,3.284,5914.4336175395865,295.72168087697935,24.643473406414945,2.0,0.0,3020.9619108318784,15.857396135829978,0.4090277395322315,2.0,0.15,0.08333333333333333,1830.0478692714642,9.9572359584054,0.487120410326429,0.0,3020.9619108318784,0.6434724470172349
M4V,14,18241,Toronto,"20,223",km²,2.729,6684.1333821912785,334.20666910956396,27.85055575913033,2.0,0.029411764705882353,3122.8551674656073,16.175434355279247,0.49615130030281335,2.0,0.15,0.08333333333333333,2122.271972420992,11.171952360537851,0.499244324605293,0.0,3122.8551674656073,0.5807939523783616
M5R,15,26496,Toronto,"26,436",km²,2.915,9089.536878216124,454.4768439108062,37.87307032590052,2.0,0.11764705882352941,3439.8652104230764,17.16424515747041,0.4805964422355002,2.0,0.15,0.08333333333333333,3052.879434004157,15.066343647981917,0.51315032581665,0.0,3439.8652104230764,0.45320448038067246
M5S,16,15372,Toronto,"17,234",km²,1.917,8018.779342723004,400.93896713615027,33.41158059467919,2.0,0.08823529411764705,3306.9495021783127,16.713611986880867,0.466111775713328,2.0,0.15,0.08333333333333333,2638.051752651957,13.328806414237079,0.5084787169008421,0.0,3306.9495021783127,0.5002341011530151
M5T,17,17748,Toronto,"18,957",km²,1.518,11691.699604743082,584.5849802371541,48.715415019762844,2.0,0.1764705882352941,3719.1034820481095,18.119031670758684,0.46294766193337,2.0,0.1602941176470588,0.08333333333333333,4070.6107177944114,19.364650168848208,0.4526232347348221,1.0,4070.6107177944114,0.39750559778649874
M5G,18,8423,Toronto,"3,689",km²,0.663,12704.374057315234,635.2187028657618,52.93489190548015,2.0,0.19117647058823528,3755.1050710891773,18.209188177914893,0.49546056148251966,2.0,0.1602941176470588,0.08333333333333333,4437.452654934447,20.892239838553643,0.46446147989208075,1.0,4437.452654934447,0.3946780485706583
M5H,19,2005,Toronto,"2,203",km²,0.473,4238.900634249471,211.94503171247356,17.662085976039464,2.0,0.0,2203.6741572639517,12.068971709280987,0.2296695326399285,2.0,0.15,0.08333333333333333,1121.888738613674,6.937822351920698,0.5340327076959955,0.0,2203.6741572639517,0.6833265179239789
M5E,20,9118,Toronto,"5,224",km²,0.429,21254.079254079254,1062.7039627039628,88.55866355866357,2.0,0.29411764705882354,4202.21485034948,19.720044595192682,0.48420579567808547,2.0,0.1602941176470588,0.08333333333333333,7632.50897865679,34.277324642051774,0.4965693469022624,1.0,7632.50897865679,0.3870578356158862
M5C,21,2951,Toronto,"3,149",km²,0.286,10318.18181818182,515.909090909091,42.99242424242425,2.0,0.16176470588235295,3453.8468706819717,17.01770055268507,0.44988393501123297,2.0,0.1602941176470588,0.08333333333333333,3477.6045405293034,16.849225575529974,0.47603613945576345,1.0,3477.6045405293034,0.3958302154985778
M5B,22,12785,Toronto,"8,874",km²,0.596,21451.342281879195,1072.5671140939598,89.38059284116332,2.0,0.29411764705882354,4277.257531895331,20.041595212612172,0.47603685316220906,2.0,0.1602941176470588,0.08333333333333333,7814.044828535885,35.06148691589667,0.47463675188552196,1.0,7814.044828535885,0.392271809812269
M4Y,23,30472,Toronto,"32,991",km²,0.973,31317.574511819115,1565.8787255909558,130.48989379924632,2.0,0.3529411764705882,4589.273148256081,21.17607426861396,0.5217942750900842,2.0,0.1602941176470588,0.08333333333333333,11617.236177878509,51.02747985139078,0.47987149424319453,1.0,11617.236177878509,0.3910454546763184
M4X,24,20822,Toronto,"18,845",km²,1.159,17965.48748921484,898.274374460742,74.8561978717285,2.0,0.25,4198.397207064039,19.877835740496867,0.514678065585264,2.0,0.1602941176470588,0.08333333333333333,6561.734792733843,29.830808211810883,0.44850201389023436,1.0,6561.734792733843,0.3985081938429217
M4W,25,14561,Toronto,"15,209",km²,4.513,3226.4569022822957,161.32284511411478,13.443570426176231,1.7157894736842105,0.0,1680.4023566932783,9.464733902045236,0.1316353688535425,2.0,0.15,0.08333333333333333,750.3162177232612,5.41865215240634,0.4911826936194757,0.0,1680.4023566932783,0.7040342410537213
M4T,26,10463,Toronto,"9,629",km²,1.677,6239.117471675611,311.9558735837806,25.996322798648382,2.0,0.014705882352941176,3027.942534793699,15.814083477293387,0.46940974039558614,2.0,0.15,0.08333333333333333,1945.0129552917958,10.42744556590321,0.49935139749353424,0.0,3027.942534793699,0.6083200150951966
M4S,27,26506,Toronto,"30,411",km²,3.079,8608.63916856122,430.431958428061,35.869329869005085,2.0,0.08823529411764705,3484.6436355391825,17.514785781018993,0.5163422575186791,2.0,0.15,0.08333333333333333,2899.0139372676613,14.439922542954434,0.4933109557650724,0.0,3484.6436355391825,0.48829420134089624
M4P,28,20039,Toronto,"19,404",km²,2.034,9852.015732546706,492.6007866273353,41.05006555227794,2.0,0.1323529411764706,3564.4784977757913,17.647492696224713,0.48717476815604466,2.0,0.15,0.08333333333333333,3364.297221404067,16.378934435939975,0.5082021982548187,0.0,3564.4784977757913,0.42990169342726964
M4N,29,15330,—,"16,122",km²,4.894,3132.4070290151203,156.62035145075603,13.05169595422967,1.6210526315789473,0.0,1629.5294119104453,9.170537565068702,0.13849082540512972,2.0,0.15,0.08333333333333333,714.3592555385786,5.271101998115563,0.487868702107479,0.0,1629.5294119104453,0.7026318723044419
M3C,30,39153,Yorkville,"39,971",km²,9.9,3954.8484848484845,197.74242424242425,16.478535353535353,2.0,0.0,2099.0903042684,11.584187712969669,0.1368044793883878,2.0,0.15,0.08333333333333333,1040.0452224065411,6.633046193287646,0.49343768437638463,0.0,2099.0903042684,0.7029864890561626
M4G,31,19076,Toronto,"18,801",km²,6.6,2890.3030303030305,144.51515151515153,12.042929292929294,1.5263157894736843,0.0,1491.366142421821,8.46582655799644,0.1368154370857041,2.0,0.15,0.08333333333333333,617.5580057922936,4.865090577308941,0.487385189207558,0.0,1491.366142421821,0.7029707102047787
M4H,32,19688,—,"16,939",km²,1.104,17833.333333333332,891.6666666666666,74.30555555555556,2.0,0.25,4219.8618385120035,19.970622509220874,0.49633836318398855,2.0,0.15,0.08333333333333333,6538.107317367829,29.71067265888315,0.5047597380348973,1.0,6538.107317367829,0.39984456662422185
M4K,33,31583,Toronto,"31,399",km²,4.118,7669.499757163671,383.47498785818357,31.956248988181965,2.0,0.07352941176470588,3296.4961492736657,16.74064765368547,0.4613521786798116,2.0,0.15,0.08333333333333333,2512.5420169528215,12.809667215649219,0.5004601658737714,0.0,3296.4961492736657,0.5238614725988799
M4J,34,35738,Toronto,"41,891",km²,5.3,6743.018867924528,337.15094339622647,28.09591194968554,2.0,0.029411764705882353,3202.4714605461254,16.540998098639456,0.4609707162554581,2.0,0.15,0.08333333333333333,2161.1251420405774,11.3467395746294,0.48793775282825297,0.0,3202.4714605461254,0.5887332693902676
M5A,35,41078,Toronto,"40,959",km²,4.097,10026.360751769587,501.3180375884794,41.776503132373286,2.0,0.14705882352941177,3535.9150884867836,17.449157358901626,0.44708045945135194,2.0,0.1602941176470588,0.08333333333333333,3413.7503051448552,16.606145864384985,0.4526295326945079,0.0,3535.9150884867836,0.41767874404451993
