zipcode,ID,"Population, 2016",city,population,unit,area,pop density,f_x_peak,lambda0,rho_mg1_array,radius_mg1_array,obj_mg1_array,lamb_endo_mg1_array,wait_endo_mg1_array,rho_pooling_array,radius_pooling_array,t_pooling_array,obj_pooling_array,lamb_endo_pooling_array,wait_endo_pooling_array,mode_opt_array,maximum profit,choice prob
M5N,10,16610,—,"18,496",km²,2.754,6031.227305737109,301.5613652868555,25.130113773904625,2.0,0.058823529411764705,3078.0700994645176,15.822776571769953,0.29219606480784843,2.0,0.18088235294117647,0.08333333333333333,2615.331035438024,13.341858842710922,0.3316410494117789,0.0,3078.0700994645176,0.6296341001130082
M5M,11,25975,—,"25,976",km²,5.2,4995.192307692308,249.7596153846154,20.81330128205128,2.0,0.0,2674.4866713057363,14.251358048406027,0.22187660532887887,2.0,0.18088235294117647,0.08333333333333333,2073.8133921043445,11.076291170283463,0.32655043288469277,0.0,2674.4866713057363,0.6847235743757737
M4R,12,11394,Toronto,"12,363",km²,1.854,6145.631067961165,307.2815533980583,25.606796116504857,2.0,0.08823529411764705,3079.4160663886914,15.687726536433026,0.2759871528514421,2.0,0.18088235294117647,0.08333333333333333,2665.434009948309,13.53748213860463,0.34065717742027485,0.0,3079.4160663886914,0.6126391784843986
M5P,13,19423,Toronto,"21,137",km²,3.284,5914.4336175395865,295.72168087697935,24.643473406414945,2.0,0.044117647058823525,3041.486877318578,15.728394013191238,0.29925365532334913,2.0,0.18088235294117647,0.08333333333333333,2555.242094141316,13.091780943847478,0.3302881049245252,0.0,3041.486877318578,0.6382377091817333
M4V,14,18241,Toronto,"20,223",km²,2.729,6684.1333821912785,334.20666910956396,27.85055575913033,2.0,0.11764705882352941,3262.101116591191,16.36963745133432,0.29085486335957333,2.0,0.20147058823529412,0.08333333333333333,2948.207931760991,14.778139163740338,0.2709871766442968,0.0,3262.101116591191,0.5877669944151047
M5R,15,26496,Toronto,"26,436",km²,2.915,9089.536878216124,454.4768439108062,37.87307032590052,2.0,0.25,3868.397707092802,18.451322205564,0.3010175427810189,2.0,0.20147058823529412,0.08333333333333333,4193.212422724975,19.98233407844322,0.2831127051096128,1.0,4193.212422724975,0.52761325940817
M5S,16,15372,Toronto,"17,234",km²,1.917,8018.779342723004,400.93896713615027,33.41158059467919,2.0,0.19117647058823528,3622.3928413670574,17.627594710800164,0.31595536132295443,2.0,0.20147058823529412,0.08333333333333333,3639.128035399761,17.663761287848168,0.27884575175408244,1.0,3639.128035399761,0.5286718249618257
M5T,17,17748,Toronto,"18,957",km²,1.518,11691.699604743082,584.5849802371541,48.715415019762844,2.0,0.3382352941176471,4328.267129313621,20.11099979765622,0.3361212152922177,2.0,0.20147058823529412,0.08333333333333333,5543.294191770944,25.642647024883864,0.28811401173202955,1.0,5543.294191770944,0.526376446028042
M5G,18,8423,Toronto,"3,689",km²,0.663,12704.374057315234,635.2187028657618,52.93489190548015,2.0,0.3529411764705882,4444.548460083058,20.56181630874958,0.39290420854757485,2.0,0.20147058823529412,0.08333333333333333,6045.249977549988,27.732178649898433,0.29809835820596436,1.0,6045.249977549988,0.5238922316005982
M5H,19,2005,Toronto,"2,203",km²,0.473,4238.900634249471,211.94503171247356,17.662085976039464,2.0,0.0,2203.6741572639517,12.068971709280987,0.2296695326399285,2.0,0.20147058823529412,0.08333333333333333,1647.18122974862,9.267874108613126,0.29460625110481065,0.0,2203.6741572639517,0.6833265179239789
